"station","hour","output","input","net","lon","lat","type","loctype","address","north","south","east","west","postal_code","country","administrative_area_level_2","administrative_area_level_1","locality","street","streetNo","point_of_interest","query"
"10th St & Constitution Ave NW","13",5,4,-1,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","07",0,4,4,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","21",0,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","00",0,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","20",0,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"11th & Kenyon St NW","04",1,0,0,-77.0277415,38.9296718,"intersection","approximate","11th street northwest & kenyon street northwest, washington, dc 20010, usa",38.9310207802915,38.9283228197085,-77.0263925197085,-77.0290904802915,"20010","united states",,"district of columbia","washington","11th street northwest",,,"11th+and+Kenyon+St+NW,+Washington,+District+of+Columbia,+USA."
"11th & Kenyon St NW","00",1,0,0,-77.0277415,38.9296718,"intersection","approximate","11th street northwest & kenyon street northwest, washington, dc 20010, usa",38.9310207802915,38.9283228197085,-77.0263925197085,-77.0290904802915,"20010","united states",,"district of columbia","washington","11th street northwest",,,"11th+and+Kenyon+St+NW,+Washington,+District+of+Columbia,+USA."
"11th & Kenyon St NW","06",1,1,0,-77.0277415,38.9296718,"intersection","approximate","11th street northwest & kenyon street northwest, washington, dc 20010, usa",38.9310207802915,38.9283228197085,-77.0263925197085,-77.0290904802915,"20010","united states",,"district of columbia","washington","11th street northwest",,,"11th+and+Kenyon+St+NW,+Washington,+District+of+Columbia,+USA."
"11th & Kenyon St NW","11",1,0,0,-77.0277415,38.9296718,"intersection","approximate","11th street northwest & kenyon street northwest, washington, dc 20010, usa",38.9310207802915,38.9283228197085,-77.0263925197085,-77.0290904802915,"20010","united states",,"district of columbia","washington","11th street northwest",,,"11th+and+Kenyon+St+NW,+Washington,+District+of+Columbia,+USA."
"11th & Kenyon St NW","21",0,1,1,-77.0277415,38.9296718,"intersection","approximate","11th street northwest & kenyon street northwest, washington, dc 20010, usa",38.9310207802915,38.9283228197085,-77.0263925197085,-77.0290904802915,"20010","united states",,"district of columbia","washington","11th street northwest",,,"11th+and+Kenyon+St+NW,+Washington,+District+of+Columbia,+USA."
"11th & Kenyon St NW","01",1,0,0,-77.0277415,38.9296718,"intersection","approximate","11th street northwest & kenyon street northwest, washington, dc 20010, usa",38.9310207802915,38.9283228197085,-77.0263925197085,-77.0290904802915,"20010","united states",,"district of columbia","washington","11th street northwest",,,"11th+and+Kenyon+St+NW,+Washington,+District+of+Columbia,+USA."
"11th & Kenyon St NW","13",1,0,0,-77.0277415,38.9296718,"intersection","approximate","11th street northwest & kenyon street northwest, washington, dc 20010, usa",38.9310207802915,38.9283228197085,-77.0263925197085,-77.0290904802915,"20010","united states",,"district of columbia","washington","11th street northwest",,,"11th+and+Kenyon+St+NW,+Washington,+District+of+Columbia,+USA."
"11th & Kenyon St NW","23",1,0,0,-77.0277415,38.9296718,"intersection","approximate","11th street northwest & kenyon street northwest, washington, dc 20010, usa",38.9310207802915,38.9283228197085,-77.0263925197085,-77.0290904802915,"20010","united states",,"district of columbia","washington","11th street northwest",,,"11th+and+Kenyon+St+NW,+Washington,+District+of+Columbia,+USA."
