"Duration","Start.date","End.date","Start.Station","End.Station","Bike.","Subscription.Type","newDate","count","monthYear"
"1h 51m 56s","12/15/2012 12:57","12/15/2012 14:49","Lynn & 19th St North","Court House Metro / Wilson Blvd & N Uhle St","W00675","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 18m 38s","12/15/2012 12:57","12/15/2012 13:15","Georgia & New Hampshire Ave NW","Metro Center / 12th & G St NW","W01497","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 6m 46s","12/15/2012 12:56","12/15/2012 13:03","11th & H St NE","Lincoln Park / 13th & East Capitol St NE ","W20889","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 11m 22s","12/15/2012 12:56","12/15/2012 13:08","22nd & I St NW / Foggy Bottom","8th & H St NW","W00430","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 13m 25s","12/15/2012 12:56","12/15/2012 13:09","9th & Upshur St NW","Georgia & New Hampshire Ave NW","W20940","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 11m 24s","12/15/2012 12:56","12/15/2012 13:07","1st & Rhode Island Ave NW","17th & Rhode Island Ave NW","W01264","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 4m 49s","12/15/2012 12:56","12/15/2012 13:01","Massachusetts Ave & Dupont Circle NW","15th & P St NW","W00260","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 10m 0s","12/15/2012 12:56","12/15/2012 13:06","14th & V St NW","17th & Rhode Island Ave NW","W01259","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 6m 6s","12/15/2012 12:56","12/15/2012 13:02","1st & K St SE","8th & Eye St SE / Barracks Row","W01250","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 12m 37s","12/15/2012 12:55","12/15/2012 13:08","Connecticut Ave & Newark St NW / Cleveland Park","Adams Mill & Columbia Rd NW","W00673","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 24m 18s","12/15/2012 12:56","12/15/2012 13:21","Thomas Circle","Calvert St & Woodley Pl NW","W00358","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 8m 8s","12/15/2012 12:55","12/15/2012 13:03","Calvert St & Woodley Pl NW","20th St & Florida Ave NW","W00716","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"1h 51m 42s","12/15/2012 12:57","12/15/2012 14:49","Lynn & 19th St North","Court House Metro / Wilson Blvd & N Uhle St","W00244","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 24m 19s","12/15/2012 12:56","12/15/2012 13:20","Thomas Circle","Calvert St & Woodley Pl NW","W20911","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 55m 35s","12/15/2012 12:56","12/15/2012 13:51","Smithsonian / Jefferson Dr & 12th St SW","20th & Crystal Dr","W00033","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 11m 11s","12/15/2012 12:55","12/15/2012 13:06","Lincoln Park / 13th & East Capitol St NE ","10th St & Constitution Ave NW","W00947","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 10m 11s","12/15/2012 12:55","12/15/2012 13:05","14th & Harvard St NW","15th & P St NW","W01342","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 23m 7s","12/15/2012 12:55","12/15/2012 13:18","Adams Mill & Columbia Rd NW","Jefferson Dr & 14th St SW","W00956","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 3m 52s","12/15/2012 12:55","12/15/2012 12:59","Massachusetts Ave & Dupont Circle NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W01073","Subscriber",2012-12-15 12:00:00,1,"2012-12"
